domain_label,team_id_norm,expected_dimensions_count,present_dimensions_count,missing_dimensions,extra_dimensions,coverage_complete
fintech,team_023,8,8,,,True
fintech,team_032,8,8,,,True
fintech,team_117,8,8,,,True
fintech,team_251,8,8,,,True
fintech,team_268,8,8,,,True
fintech,team_293,8,8,,,True
fintech,team_004,8,8,,,True
fintech,team_137,8,8,,,True
fintech,team_258,8,8,,,True
fintech,team_272,8,8,,,True
fintech,team_281,8,8,,,True
fintech,team_062,8,8,,,True
fintech,team_136,8,8,,,True
fintech,team_224,8,8,,,True
fintech,team_292,8,8,,,True
fintech,team_377,8,8,,,True
fintech,team_266,8,8,,,True
fintech,team_314,8,8,,,True
fintech,team_338,8,8,,,True
fintech,team_322,8,8,,,True
fintech,team_261,8,8,,,True
fintech,team_382,8,8,,,True
fintech,team_152,8,8,,,True
fintech,team_279,8,8,,,True
fintech,team_110,8,8,,,True
fintech,team_194,8,8,,,True
fintech,team_219,8,8,,,True
fintech,team_104,8,8,,,True
fintech,team_138,8,8,,,True
fintech,team_249,8,8,,,True
fintech,team_309,8,8,,,True
fintech,team_316,8,8,,,True
fintech,team_385,8,8,,,True
fintech,team_055,8,8,,,True
fintech,team_105,8,8,,,True
fintech,team_013,8,8,,,True
fintech,team_116,8,8,,,True
fintech,team_339,8,8,,,True
fintech,team_081,8,8,,,True
fintech,team_348,8,8,,,True
fintech,team_002,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_003,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_021,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_049,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_053,8,8,,,True
fintech,team_100,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_108,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_111,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_118,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_119,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_123,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_125,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_126,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_146,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_158,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_163,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_168,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_186,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_195,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_200,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_222,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_255,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_296,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_331,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_345,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_367,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_113,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_189,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_239,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_343,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_022,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_061,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_068,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_074,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_097,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_174,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_197,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_199,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_230,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_233,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_254,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_270,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_287,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_327,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_373,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_050,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_269,8,8,,,True
fintech,team_133,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_157,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_211,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_228,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_177,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_183,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_330,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_358,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_371,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
fintech,team_202,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_089,8,8,,,True
healthcare,team_501,8,8,,,True
healthcare,team_095,8,8,,,True
healthcare,team_153,8,8,,,True
healthcare,team_336,8,8,,,True
healthcare,team_294,8,8,,,True
healthcare,team_357,8,8,,,True
healthcare,team_409,8,8,,,True
healthcare,team_422,8,8,,,True
healthcare,team_427,8,8,,,True
healthcare,team_462,8,8,,,True
healthcare,team_528,8,8,,,True
healthcare,team_586,8,8,,,True
healthcare,team_594,8,8,,,True
healthcare,team_016,8,8,,,True
healthcare,team_148,8,8,,,True
healthcare,team_289,8,8,,,True
healthcare,team_291,8,8,,,True
healthcare,team_301,8,8,,,True
healthcare,team_334,8,8,,,True
healthcare,team_349,8,8,,,True
healthcare,team_285,8,8,,,True
healthcare,team_341,8,8,,,True
healthcare,team_424,8,8,,,True
healthcare,team_588,8,8,,,True
healthcare,team_605,8,8,,,True
healthcare,team_059,8,8,,,True
healthcare,team_071,8,8,,,True
healthcare,team_154,8,8,,,True
healthcare,team_165,8,8,,,True
healthcare,team_329,8,8,,,True
healthcare,team_366,8,8,,,True
healthcare,team_510,8,8,,,True
healthcare,team_303,8,8,,,True
healthcare,team_318,8,8,,,True
healthcare,team_346,8,8,,,True
healthcare,team_350,8,8,,,True
healthcare,team_140,8,8,,,True
healthcare,team_344,8,8,,,True
healthcare,team_286,8,8,,,True
healthcare,team_396,8,8,,,True
healthcare,team_461,8,8,,,True
healthcare,team_052,8,8,,,True
healthcare,team_238,8,8,,,True
healthcare,team_328,8,8,,,True
healthcare,team_410,8,8,,,True
healthcare,team_493,8,8,,,True
healthcare,team_038,8,8,,,True
healthcare,team_352,8,8,,,True
healthcare,team_557,8,8,,,True
healthcare,team_648,8,8,,,True
healthcare,team_107,8,8,,,True
healthcare,team_225,8,8,,,True
healthcare,team_609,8,8,,,True
healthcare,team_033,8,8,,,True
healthcare,team_143,8,8,,,True
healthcare,team_273,8,8,,,True
healthcare,team_395,8,8,,,True
healthcare,team_408,8,8,,,True
healthcare,team_632,8,8,,,True
healthcare,team_161,8,8,,,True
healthcare,team_484,8,8,,,True
healthcare,team_502,8,8,,,True
healthcare,team_505,8,8,,,True
healthcare,team_535,8,8,,,True
healthcare,team_237,8,8,,,True
healthcare,team_529,8,8,,,True
healthcare,team_259,8,8,,,True
healthcare,team_451,8,8,,,True
healthcare,team_149,8,8,,,True
healthcare,team_319,8,8,,,True
healthcare,team_265,8,8,,,True
healthcare,team_544,8,8,,,True
healthcare,team_611,8,8,,,True
healthcare,team_082,8,8,,,True
healthcare,team_094,8,8,,,True
healthcare,team_221,8,8,,,True
healthcare,team_443,8,8,,,True
healthcare,team_497,8,8,,,True
healthcare,team_024,8,8,,,True
healthcare,team_220,8,8,,,True
healthcare,team_028,8,8,,,True
healthcare,team_029,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_051,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_060,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_065,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_087,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_096,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_106,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_114,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_120,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_172,8,8,,,True
healthcare,team_142,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_162,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_171,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_191,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_208,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_227,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_246,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_248,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_260,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_271,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_277,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_283,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_299,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_300,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_323,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_363,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_376,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_380,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_035,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_139,8,8,,,True
healthcare,team_147,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_179,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_235,8,8,,,True
healthcare,team_257,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_354,8,8,,,True
healthcare,team_413,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_415,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_421,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_430,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_431,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_436,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_444,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_445,8,8,,,True
healthcare,team_452,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_456,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_458,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_481,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_504,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_512,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_514,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_543,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_582,8,8,,,True
healthcare,team_600,8,8,,,True
healthcare,team_625,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_626,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_646,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_008,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_030,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_034,8,8,,,True
healthcare,team_041,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_064,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_080,8,8,,,True
healthcare,team_093,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_101,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_103,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_001,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_231,8,8,,,True
healthcare,team_245,8,8,,,True
healthcare,team_124,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_130,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_132,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_144,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_176,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_178,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_198,8,8,,,True
healthcare,team_204,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_215,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_223,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_226,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_232,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_247,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_275,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_288,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_307,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_308,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_313,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_315,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_332,8,8,,,True
healthcare,team_369,8,8,,,True
healthcare,team_372,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
healthcare,team_015,4,8,,code_intentionality;core_feature_presence;implementation_authenticity;stack_alignment,True
